FP,ExtFP,EStateFP,GraphFP,MACCSFP,PubchemFP,SubFP,SubFPC,KRFP,KRFPC,AD2D,APC2D,Total features,Train Logloss,Validation Logloss,Test Logloss,Train AUC,Validation AUC,Test AUC,Iteration
1024,1024,79,0,166,0,0,307,4860,4860,780,780,13880,0.35992762238190773,0.5508441391722421,0.470144351937915,0.9743035070468699,0.7781369573822403,0.902749738948834,0
1024,1024,79,0,166,0,307,0,4860,4860,780,780,13880,0.32034357728519497,0.5547825449776278,0.4414519597387896,0.981661750245821,0.776685578572371,0.9149321266968325,0
1024,1024,79,0,166,881,0,307,4860,4860,780,780,14761,0.3069038787178673,0.5561459860032368,0.4513838721748653,0.9826614224844313,0.7714738092096582,0.9028889662373825,0
1024,1024,79,0,166,881,307,0,4860,4860,780,780,14761,0.34635103608666434,0.5653430994928326,0.4659003251239365,0.9747541789577188,0.7681092492413247,0.9024016707274626,0
1024,1024,79,0,166,881,307,0,4860,4860,0,780,13981,0.3068143137249874,0.5616038191570529,0.4499694629894909,0.9826204523107178,0.76751550336456,0.8988513748694744,0
1024,1024,79,0,166,881,307,0,4860,4860,780,0,13981,0.30868068537089727,0.5575901960750118,0.4467140799810367,0.9827023926581449,0.7714078374455733,0.9018447615732683,0
1024,1024,79,0,166,881,307,0,0,4860,780,780,9901,0.3043091828243738,0.5503777473844041,0.4562040694176634,0.9821206161914127,0.7783348726744953,0.8895927601809954,0
1024,1024,79,0,166,881,307,0,4860,0,780,780,9901,0.3065058153344814,0.5558172597560975,0.4467090598541901,0.9818502130449033,0.7714078374455733,0.9068569439610165,0
1024,1024,79,0,166,881,0,307,4860,4860,0,780,13981,0.3568165319451622,0.5575962358797193,0.46426819864203517,0.9735742379547689,0.7728592162554426,0.9076226940480335,0
1024,1024,79,0,166,881,0,307,4860,4860,780,0,13981,0.31336760938814273,0.570013124322909,0.43824395158487717,0.9807931825630941,0.7638210845758016,0.9121475809258615,0
1024,1024,79,0,166,881,0,307,0,4860,780,780,9901,0.3121038398519079,0.5541425818938663,0.45386321713354366,0.9808628318584072,0.7747723974139069,0.8944657152801949,0
1024,1024,79,0,166,881,0,307,4860,0,780,780,9901,0.3071103872303167,0.5496764337644217,0.4436609111764519,0.9821083251392987,0.77892861855126,0.9058127392969023,0
1024,1024,79,0,166,881,0,0,4860,4860,780,780,14454,0.3069038787178673,0.5561459860032368,0.4513838721748653,0.9826614224844313,0.7714738092096582,0.9028889662373825,0
1024,1024,79,1024,166,881,307,307,0,4860,780,780,11232,0.30756269186584795,0.5424978256017325,0.45014380618966415,0.9811578171091445,0.7873730043541364,0.8979463974939088,0
1024,1024,79,1024,166,881,307,307,4860,0,780,780,11232,0.3335258337184931,0.5521901969192005,0.4569789354720626,0.9777941658472631,0.7774112679773056,0.9039331709014966,0
1024,1024,79,1024,166,881,307,307,4860,0,0,780,10452,0.33517475483136566,0.550573131197561,0.4606902089801641,0.9771591281547034,0.7819633196991688,0.8999651931778628,0
1024,1024,79,1024,166,881,307,307,4860,0,0,0,9672,0.3120127295559466,0.5554480705222196,0.4547342957775904,0.9803834808259587,0.7711439503892334,0.9003132613992342,0
1024,1024,79,1024,166,881,307,307,4860,0,780,0,10452,0.31531898633285504,0.5555176020142192,0.44706874624163234,0.9803302196001311,0.7723974139068478,0.9078315349808563,0
1024,1024,79,1024,166,881,307,307,0,4860,0,780,10452,0.29812476742374827,0.550532660433862,0.44655224536087984,0.9832268108816781,0.7816334608787439,0.9073442394709362,0
1024,1024,79,1024,166,881,307,307,0,4860,0,0,9672,0.30156278557035626,0.5491000582730159,0.4535978154292385,0.9820386758439856,0.7820292914632537,0.8984336930038287,0
1024,1024,79,1024,166,881,307,307,0,4860,780,0,10452,0.31080628052743836,0.5505597057902379,0.45328924475413307,0.9810431006227466,0.779258477371685,0.9026105116602854,0
1024,1024,79,1024,166,881,307,307,0,0,780,780,6372,0.30756269186584795,0.5424978256017325,0.45014380618966415,0.9811578171091445,0.7873730043541364,0.8979463974939088,0
1024,1024,79,1024,166,881,307,307,0,0,0,780,5592,0.29812476742374827,0.550532660433862,0.44655224536087984,0.9832268108816781,0.7816334608787439,0.9073442394709362,0
1024,1024,79,1024,166,881,307,307,0,0,780,0,5592,0.31080628052743836,0.5505597057902379,0.45328924475413307,0.9810431006227466,0.779258477371685,0.9026105116602854,0
1024,1024,79,1024,0,881,307,307,4860,4860,780,780,15926,0.30677897224730344,0.5531861709327185,0.43705841201122914,0.9824360865290068,0.7730571315476975,0.9092238078663419,0
1024,1024,79,1024,0,881,307,307,4860,4860,0,780,15146,0.3080576203872373,0.5458754768010203,0.446787356844116,0.9830178629957391,0.7804459691252145,0.9049077619213367,0
1024,1024,79,1024,0,881,307,307,4860,4860,0,0,14366,0.32003027605003964,0.558624403766766,0.44761845258863703,0.9802687643395609,0.7669217574877952,0.9083884441350505,0
1024,1024,79,1024,0,881,307,307,4860,4860,780,0,15146,0.317307781999472,0.5443541206036274,0.44314463944669313,0.9805473615208129,0.7853278796675024,0.9115906717716672,0
1024,1024,79,1024,0,881,307,307,0,4860,780,780,11066,0.30555135293522223,0.5402508864340871,0.44824836961084136,0.9830178629957391,0.7880986937590712,0.9000348068221371,0
1024,1024,79,1024,0,881,307,307,4860,0,780,780,11066,0.3086425648060194,0.5564256241725284,0.45028476310424576,0.9816043920026221,0.769890486871619,0.8954403063000348,0
1024,1024,79,1024,0,881,307,307,4860,0,0,780,10286,0.3056413451088599,0.5425909084086564,0.44956337663410795,0.9826204523107177,0.7862514843646919,0.8939088061260008,0
1024,1024,79,1024,0,881,307,307,4860,0,780,0,10286,0.30967005132187914,0.5507511683897077,0.4564207454155779,0.9807522123893805,0.7778070985618155,0.8902192829794638,0
1024,1024,79,1024,0,881,307,307,0,4860,0,780,10286,0.31778436487165224,0.5489585013019134,0.45876045062255416,0.9814855784988529,0.7782689009104102,0.9023320570831882,0
1024,1024,79,1024,0,881,307,307,0,4860,780,0,10286,0.4995427159806041,0.5844350625348442,0.5437209312593849,0.9310205670272041,0.7613141575405726,0.8851374869474418,0
1024,1024,79,1024,0,881,307,307,0,0,780,780,6206,0.30555135293522223,0.5402508864340871,0.44824836961084136,0.9830178629957391,0.7880986937590712,0.9000348068221371,0
